time,open,high,low,close,volume
2026-05-29 15:05:00,4578.2,4589.856,4573.68,4587.817,4204
2026-05-29 15:10:00,4587.756,4595.203,4585.744,4589.712,3530
2026-05-29 15:15:00,4589.767,4591.537,4585.805,4588.443,2652
2026-05-29 15:20:00,4588.501,4589.126,4581.635,4584.709,2346
2026-05-29 15:25:00,4584.654,4585.374,4577.876,4578.22,1725
2026-05-29 15:30:00,4578.302,4583.363,4577.733,4578.172,1679
2026-05-29 15:35:00,4578.374,4580.808,4571.97,4573.094,2258
2026-05-29 15:40:00,4573.188,4575.336,4561.263,4566.393,3196
2026-05-29 15:45:00,4566.472,4569.369,4557.679,4565.039,2510
2026-05-29 15:50:00,4564.905,4570.517,4563.288,4569.132,1416
2026-05-29 15:55:00,4568.832,4571.597,4568.161,4571.217,1192
2026-05-29 16:00:00,4571.282,4572.327,4567.628,4568.032,1286
2026-05-29 16:05:00,4567.887,4569.043,4563.647,4564.35,1013
2026-05-29 16:10:00,4564.322,4565.12,4559.655,4563.767,917
2026-05-29 16:15:00,4563.704,4567.778,4562.758,4565.339,910
2026-05-29 16:20:00,4565.107,4567.143,4563.651,4564.389,883
2026-05-29 16:25:00,4564.327,4564.327,4560.434,4563.138,999
2026-05-29 16:30:00,4563.063,4570.113,4561.745,4569.03,1668
2026-05-29 16:35:00,4569.09,4573.474,4567.522,4571.909,1163
2026-05-29 16:40:00,4571.909,4572.841,4568.385,4569.298,935
2026-05-29 16:45:00,4569.602,4569.602,4564.359,4564.654,941
2026-05-29 16:50:00,4564.692,4565.912,4560.845,4565.479,828
2026-05-29 16:55:00,4565.122,4567.328,4562.436,4566.776,593
2026-05-29 17:00:00,4566.836,4568.126,4564.189,4564.315,652
2026-05-29 17:05:00,4564.382,4568.637,4563.265,4567.322,564
2026-05-29 17:10:00,4567.537,4568.232,4563.826,4564.214,642
2026-05-29 17:15:00,4564.202,4566.79,4563.645,4565.687,625
2026-05-29 17:20:00,4565.665,4566.867,4560.715,4565.357,976
2026-05-29 17:25:00,4565.415,4565.947,4561.641,4561.952,881
2026-05-29 17:30:00,4561.884,4562.301,4557.756,4559.063,551
